input,expected_output,metadata
"{""message"":""这个需求帮我写 case。设计稿：{{FIGMA_URL}}；需要读取 Slack 频道 feature-payment-protecting；相关后端 PR：{{BACKEND_PR_1}}、{{API_PR_2}}。""}","{""route"":{""intent"":""case_create_full"",""relation"":""new"",""writeTarget"":""metersphere"",""depth"":""deep""},""objective"":""综合设计、讨论和实现建立新需求用例，并写入 MeterSphere 后回查。"",""mustInclude"":[""读取 Figma、Slack 讨论和两份 PR，而不是只基于单一来源"",""区分已验证事实、来源冲突和待确认项"",""先形成覆盖模型，再生成少而精且可执行的用例"",""写入 MeterSphere 后用新的读取结果核对数量、名称、优先级和目标模块""],""mustNot"":[""未读取来源就凭空补业务规则"",""没有回查凭证却声称已写入成功"",""泄露原始内部链接到无关输出""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""figma_read"",""slack_read"",""github_read"",""metersphere_dry_run"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""qa_experience_read""],""forbiddenCapabilities"":[""metersphere_delete"",""git_write""],""terminalEvidence"":[""immutable_case_plan"",""successful_write_receipt"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-001"",""workflow"":""requirement_to_cases"",""difficulty"":""hard"",""tags"":[""multi-source"",""figma"",""slack"",""github"",""metersphere""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260811-1908_这个需求帮我写下case-这是设计稿-这是相关PR-MoeGolibrary-m.md"",""source_sha256"":""0a316b496e4aaff3be617b4a21bf57ecacaffad1291e916075342a454562fef8"",""dataset_version"":""1.0""}"
"{""message"":""这个需求帮我写 MeterSphere case：{{JIRA_URL}}；这是设计稿：{{FIGMA_URL}}。""}","{""route"":{""intent"":""case_create_full"",""relation"":""new"",""writeTarget"":""metersphere"",""depth"":""deep""},""objective"":""从 Jira 与 Figma 形成新需求测试用例并完成 MeterSphere 写后回查。"",""mustInclude"":[""读取 Jira 的验收范围和关联信息"",""读取 Figma 的交互、状态和文案"",""冲突时以明确需求事实优先并记录冲突"",""覆盖适用的状态、边界、失败恢复和回归范围""],""mustNot"":[""把设计稿推断当成已确认规则"",""只给 xlsx 而不执行用户明确要求的 MeterSphere 工作流"",""无回查即宣告完成""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""jira_read"",""figma_read"",""metersphere_dry_run"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""github_read"",""slack_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""immutable_case_plan"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-002"",""workflow"":""requirement_to_cases"",""difficulty"":""hard"",""tags"":[""jira"",""figma"",""metersphere""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260804-1032_这个需求帮我写一下metersphere的case-这是设计稿.md"",""source_sha256"":""820e0b2e7d16d62d0af9baa92dfcb9238de62f1edd86ca70ebf556f59b40c1dc"",""dataset_version"":""1.0""}"
"{""message"":""{{PR_URL}} 根据这个 PR，帮我写 MeterSphere case。""}","{""route"":{""intent"":""case_create_full"",""relation"":""new"",""writeTarget"":""metersphere"",""depth"":""deep""},""objective"":""以 PR 实际改动为入口识别业务影响，生成并写入新用例。"",""mustInclude"":[""读取 PR diff、关联 issue 和改动调用链"",""把代码影响翻译成业务场景"",""明确 PR 未能说明的产品规则"",""写入后回查""],""mustNot"":[""只根据 PR 标题写 happy path"",""要求用户手工导入而忽略已授权写入目标"",""删除既有用例""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""github_read"",""metersphere_read"",""metersphere_dry_run"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""jira_read""],""forbiddenCapabilities"":[""git_write"",""metersphere_delete""],""terminalEvidence"":[""pr_evidence"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-003"",""workflow"":""pr_to_cases"",""difficulty"":""hard"",""tags"":[""github"",""impact-analysis"",""metersphere""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260807-1802_根据这个PR-帮我写一下metersphere的case.md"",""source_sha256"":""7278232e5b8162b4f829f05a5a90f61a16558b907135803435cda2172b6410f4"",""dataset_version"":""1.0""}"
"{""message"":""根据这份技术文档写 Pre-auth 二期的 case。"",""attachments"":[{""name"":""pre-auth-phase-2.pdf"",""mimeType"":""application/pdf"",""source"":""api""}]}","{""route"":{""intent"":""case_create_full"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""deep""},""objective"":""复用既有 Pre-auth 业务背景，以新文档为当前事实源新增二期用例。"",""mustInclude"":[""读取附件中的明确规则"",""复用仍有效的历史业务上下文但不覆盖新文档"",""覆盖开关、状态、repeat appointment 与释放/结算边界"",""写入后回查""],""mustNot"":[""假装记得未读取的历史细节"",""照搬一期全部用例"",""无证据发明状态名""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""attachment_read"",""metersphere_read"",""metersphere_dry_run"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""qa_experience_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""document_evidence"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-004"",""workflow"":""requirement_to_cases"",""difficulty"":""hard"",""tags"":[""attachment"",""follow-up"",""pre-auth""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260731-1020_你还记得之前让你写case的skill以及preauth的case吗-现在根据这.md"",""source_sha256"":""ad1ff27da6507ef621efc5d83acd80c8f6999108aa54fbc39fef4e0080f6f7aa"",""dataset_version"":""1.0""}"
"{""message"":""重构 Payment / Invoice V4 的历史 case。输入包括两份全量导出、上一版重构结果和与另一个 agent 的讨论记录。需要自己检查历史需求是否已合并，不能重复。"",""attachments"":[{""name"":""historical-cases-1.xlsx"",""mimeType"":""application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"",""source"":""api""},{""name"":""historical-cases-2.xlsx"",""mimeType"":""application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"",""source"":""api""},{""name"":""previous-refactor.xlsx"",""mimeType"":""application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"",""source"":""api""},{""name"":""review-transcript.md"",""mimeType"":""text/markdown"",""source"":""api""}]}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""new"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""对已有 Invoice V4 用例做对账、去重、重组和缺口补齐，而不是凭空重写。"",""mustInclude"":[""建立历史用例与目标用例的稳定映射"",""区分保留、改名、移动、合并、新增和失效"",""保留仍有效的原用例身份"",""先对账再 upsert 并回查""],""mustNot"":[""把历史助手输出直接当金标"",""按名称模糊匹配后批量误改"",""删除既有用例"",""为了结构整齐而丢失业务覆盖""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""attachment_read"",""metersphere_read"",""reconciliation"",""metersphere_dry_run"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""qa_experience_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""reconciliation_report"",""immutable_case_plan"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-005"",""workflow"":""case_refactor"",""difficulty"":""hard"",""tags"":[""reconciliation"",""deduplication"",""invoice-v4"",""history""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260730-1738_你根据里历史写case的skill-现在需要你帮我重构payment的case-.md"",""source_sha256"":""1b998b0cabe522071e4d902b6f7872faf8ab32f55e6551f06473a0f8cd5280bb"",""dataset_version"":""1.0""}"
"{""message"":""上一版方向不对。主要测试已有 Pre-auth 数据迁移后的正确性，以及 Payment 回归；相关实现有 migration、skip migrated legacy preauth 和 data migration 等 PR。请重新生成。"",""prior_context"":[{""role"":""user"",""content"":""结合之前的 Pre-auth case 和技术文档，生成 Pre-auth migration case。""}]}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""按用户纠正后的范围重写迁移用例，聚焦存量数据迁移与支付回归。"",""mustInclude"":[""把存量数据迁移前后映射作为主轴"",""覆盖幂等、跳过已迁移数据、失败恢复和数据完整性"",""覆盖 Payment 主流程回归"",""明确删除上一版不相关覆盖""],""mustNot"":[""继续沿用上一版错误范围"",""只测新创建 Pre-auth"",""把实现 PR 名称当成产品预期""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""github_read"",""metersphere_read"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""attachment_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""scope_diff"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-006"",""workflow"":""case_scope_correction"",""difficulty"":""hard"",""tags"":[""migration"",""regression"",""follow-up"",""user-correction""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260628-2239_你还记得之前让你生成的测试用例的任务吗.md"",""source_sha256"":""9c884df7fe06d09ffc888ebd2939216bea3d7940850a686202608b6cfc4c04fa"",""dataset_version"":""1.0""}"
"{""message"":""更新 Package/Retail Split Payment 用例，一级目录按账号能力分组：Invoice V4 + Membership 白名单支持 Sales create 的 Sell Product/Package Split Payment，也支持 created-but-unpaid 和历史 V0/V2 unpaid retail 进入新收银台继续支付；Invoice V4 非白名单不支持创建阶段 Split Payment，但支持 unpaid 后续支付；非 Invoice V4 另列。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""用账号能力矩阵重组既有 Split Payment 用例。"",""mustInclude"":[""一级结构区分白名单、非白名单和非 Invoice V4"",""每个分支区分 Sales create、created-but-unpaid 与历史订单"",""明确支持与不支持的差异"",""保留 V0/V2 历史订单兼容路径""],""mustNot"":[""把所有 Invoice V4 账号写成相同行为"",""混淆创建阶段与 Charge 继续支付"",""省略历史订单版本""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""metersphere_read"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""lark_doc_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""branch_matrix"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-007"",""workflow"":""case_structure_update"",""difficulty"":""hard"",""tags"":[""account-matrix"",""split-payment"",""backward-compatibility""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260810-1710_继续之前之前写的package-retail支持split-payment的ca.md"",""source_sha256"":""16edb7956dca9e9f162723c9ddf0708cdd294aba65220cf8b56a3f48a3d6d5c4"",""dataset_version"":""1.0""}"
"{""message"":""所有部分支付都需要使用术语 Split Payment，统一修改。"",""prior_context"":[{""role"":""assistant"",""content"":""已生成部分支付相关用例，混用了 partial payment 等表述。""}]}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""对既有用例做全局、受控的术语统一。"",""mustInclude"":[""定位所有语义等价的部分支付表述"",""仅统一术语，不改变业务步骤和预期"",""列出修改与保持不变的范围"",""写后回查实际名称和文本""],""mustNot"":[""发明新术语"",""顺带重构无关模块"",""只修改当前可见的一条而漏掉同范围用例""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""metersphere_read"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""qa_context_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""changed_case_ids"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-008"",""workflow"":""terminology_normalization"",""difficulty"":""medium"",""tags"":[""terminology"",""split-payment"",""global-check""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260810-1710_继续之前之前写的package-retail支持split-payment的ca.md"",""source_sha256"":""16edb7956dca9e9f162723c9ddf0708cdd294aba65220cf8b56a3f48a3d6d5c4"",""dataset_version"":""1.0""}"
"{""message"":""模块名称不要包含数字编号或分隔线这类无业务意义的字符，全局检查并修正。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""清理模块名中的无意义编号，保留业务语义和层级。"",""mustInclude"":[""扫描当前目标子树而不是整个 MeterSphere"",""去除前缀编号与装饰符"",""保持模块业务名称和父子关系"",""回查改名结果""],""mustNot"":[""删除模块"",""改动模块外的用例内容"",""把有业务意义的版本号 V0/V2/V4 删除""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""metersphere_read"",""module_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""renamed_module_ids"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-009"",""workflow"":""module_rename"",""difficulty"":""medium"",""tags"":[""naming"",""structure"",""scope-control""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260810-1712_继续之前未完成的payment-case-refactor的任务.md"",""source_sha256"":""ec0abdc5bda310870fd6aa49832e5cbe6aef48e9116bc5d820ba4787146c2b1e"",""dataset_version"":""1.0""}"
"{""message"":""Online Booking Pre-auth 的子模块太多，存在一个模块只有一个用例。请检查当前整棵目标树，合并语义过细的模块。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""合并过细模块，但不牺牲用例覆盖和可检索性。"",""mustInclude"":[""识别单用例或语义高度重叠模块"",""按稳定业务能力合并而非按数量机械合并"",""说明移动前后映射"",""保持用例内容和身份""],""mustNot"":[""把所有模块压成一个"",""删除单用例"",""改变与本次结构调整无关的步骤和预期""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""metersphere_read"",""structure_analysis"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""module_move_map"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-010"",""workflow"":""case_tree_refactor"",""difficulty"":""hard"",""tags"":[""module-consolidation"",""coverage-preservation""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260628-2239_你还记得之前让你生成的测试用例的任务吗.md"",""source_sha256"":""9c884df7fe06d09ffc888ebd2939216bea3d7940850a686202608b6cfc4c04fa"",""dataset_version"":""1.0""}"
